0	2	1456
1	2	172
2	0	2437
2	1	84
3	0	2437
3	1	156
4	2	773
5	2	1654
6	2	3294
7	2	2979
8	2	91
9	0	747
9	1	84
10	2	1787
11	2	1119
12	2	2494
13	2	1340
14	2	2933
15	2	2699
16	0	2437
16	1	3146
17	0	2437
17	1	2192
18	2	1631
19	0	2589
19	1	2192
20	2	3116
21	0	1275
21	1	2786
22	2	1914
23	2	1923
24	2	2409
25	2	2541
26	2	481
27	2	2260
28	2	709
29	2	1153
30	2	1565
31	0	2437
31	1	1631
32	0	2589
32	1	3146
33	2	1557
34	2	3228
35	2	1277
36	0	747
36	1	3146
37	2	1091
38	0	525
38	1	655
39	0	525
39	1	2786
40	2	969
41	2	2904
42	2	285
43	2	3421
44	0	629
44	1	156
45	0	2589
45	1	3116
46	2	2302
47	0	343
47	1	156
48	0	2941
48	1	84
49	2	717
50	2	674
51	2	845
52	0	343
52	1	84
53	2	999
54	2	980
55	0	2437
55	1	74
56	0	811
56	1	156
57	2	170
58	2	1858
59	2	749
60	0	2437
60	1	2979
61	0	747
61	1	2380
62	2	2544
63	2	3097
64	0	2589
64	1	2935
65	0	1885
65	1	1631
66	2	328
67	2	3361
68	0	2589
68	1	1391
69	2	1426
70	2	2969
71	2	552
72	2	512
73	2	1986
74	0	2589
74	1	1153
75	2	134
76	0	3192
76	1	84
77	2	1660
78	0	2437
78	1	2716
79	0	343
79	1	1391
80	2	337
81	0	2357
81	1	1153
82	0	1885
82	1	1395
83	0	2477
83	1	2699
84	2	1634
85	0	745
85	1	1391
86	0	1885
86	1	3116
87	0	873
87	1	91
88	2	109
89	0	747
89	1	1490
90	0	544
90	1	84
91	0	745
91	1	1987
92	0	2437
92	1	2840
93	0	2589
93	1	2840
94	2	2937
95	2	1437
96	2	214
97	2	2834
98	2	3199
99	0	2437
99	1	1646
100	0	745
100	1	1631
101	0	2589
101	1	1987
102	0	1887
102	1	156
103	0	343
103	1	2935
104	2	1305
105	0	2950
105	1	1313
106	0	629
106	1	84
107	0	2437
107	1	1091
108	0	2081
108	1	3116
109	0	343
109	1	1456
110	0	2916
110	1	3146
111	2	491
112	0	747
112	1	2786
113	2	3060
114	2	2891
115	2	259
116	2	1784
117	0	1613
117	1	1490
118	2	1599
119	0	697
119	1	2192
120	2	254
121	0	2437
121	1	1565
122	0	343
122	1	2380
123	2	1703
124	0	593
124	1	156
125	0	2437
125	1	254
126	2	2117
